Energy,CF_2,HF,CF_3,CH,CF,CHF,CHF_2,C,F
3914.5,0.0401269688128219,0.0028915276267317,0.3172151675732496,0.0031222337030576,0.0780206875922744,0.009614865568112,0.2010265151712573,0.0040284590606286,0.0046129896759365
3915.0,0.0401227506337641,0.0028912238219757,0.317181813150119,0.0031219056805124,0.0780124865715047,0.0096138549064786,0.2010053793431555,0.0040280359340062,0.0046125052567174
3915.5,0.040118533400736,0.0028909200853081,0.3171484662101301,0.0031215777314766,0.0780042873898382,0.0096128444714923,0.2009842482564267,0.0040276129021739,0.004612020945988
3916.0,0.0401143171134118,0.0028906164167054,0.3171151267507061,0.0031212498559248,0.0779960900466419,0.0096118342630749,0.2009631219094386,0.0040271899650993,0.0046115367437108
3916.5,0.0401101017714662,0.0028903128161442,0.3170817947692711,0.0031209220538317,0.0779878945412831,0.0096108242811486,0.2009420003005595,0.0040267671227497,0.0046110526498487
3917.0,0.0401058873745737,0.0028900092836012,0.3170484702632509,0.0031205943251722,0.0779797008731295,0.0096098145256353,0.2009208834281583,0.0040263443750925,0.0046105686643644
3917.5,0.0401016739224093,0.0028897058190528,0.3170151532300723,0.003120266669921,0.077971509041549,0.0096088049964573,0.2008997712906049,0.0040259217220953,0.0046100847872207
3918.0,0.0400974614146478,0.0028894024224758,0.316981843667163,0.0031199390880528,0.0779633190459098,0.0096077956935366,0.2008786638862699,0.0040254991637255,0.0046096010183804
3918.5,0.0400932498509645,0.0028890990938469,0.3169485415719525,0.0031196115795424,0.0779551308855805,0.0096067866167954,0.2008575612135244,0.0040250766999506,0.0046091173578063
3919.0,0.0400890392310345,0.0028887958331425,0.3169152469418708,0.0031192841443647,0.0779469445599298,0.009605777766156,0.2008364632707406,0.0040246543307381,0.0046086338054613
3919.5,0.0400848295545334,0.0028884926403395,0.3168819597743496,0.0031189567824944,0.0779387600683269,0.0096047691415405,0.2008153700562913,0.0040242320560556,0.0046081503613081
3920.0,0.0400806208211367,0.0028881895154145,0.3168486800668216,0.0031186294939063,0.0779305774101412,0.0096037607428713,0.20079428156855,0.0040238098758705,0.0046076670253097
3920.5,0.0400764130305202,0.0028878864583441,0.3168154078167208,0.0031183022785753,0.0779223965847424,0.0096027525700706,0.2007731978058911,0.0040233877901505,0.0046071837974288
3921.0,0.0400722061823597,0.0028875834691051,0.3167821430214821,0.0031179751364762,0.0779142175915004,0.009601744623061,0.2007521187666896,0.0040229657988631,0.0046067006776285
3921.5,0.0400680002763312,0.0028872805476741,0.3167488856785419,0.0031176480675839,0.0779060404297855,0.0096007369017646,0.2007310444493214,0.0040225439019759,0.0046062176658716
3922.0,0.040063795312111,0.0028869776940279,0.3167156357853377,0.0031173210718732,0.0778978650989683,0.009599729406104,0.2007099748521631,0.0040221220994564,0.0046057347621211
3922.5,0.0400595912893754,0.0028866749081432,0.3166823933393082,0.003116994149319,0.0778896915984197,0.0095987221360016,0.2006889099735919,0.0040217003912724,0.0046052519663398
3923.0,0.0400553882078008,0.0028863721899968,0.3166491583378931,0.0031166672998962,0.0778815199275107,0.00959771509138,0.200667849811986,0.0040212787773914,0.0046047692784909
3923.5,0.0400511860670639,0.0028860695395653,0.3166159307785336,0.0031163405235797,0.0778733500856129,0.0095967082721616,0.2006467943657243,0.0040208572577811,0.0046042866985371
3924.0,0.0400469848668415,0.0028857669568255,0.316582710658672,0.0031160138203443,0.077865182072098,0.0095957016782691,0.2006257436331863,0.0040204358324092,0.0046038042264417
