Energy,CF_2,HF,CF_3,CH,CF,CHF,CHF_2,C,F
2572.5,0.0724063086474465,0.0080978927275058,0.4467645579367998,0.0092494761516394,0.1499566706506069,0.0183131211736684,0.3064746943168312,0.0147177940863568,0.020311931898407
2573.0,0.0723952715682374,0.0080966876025587,0.446695358263714,0.0092481033624449,0.1499338984915678,0.0183103386870801,0.3064274765174585,0.014715630167367,0.0203089679843633
2573.5,0.0723842380949869,0.0080954828627729,0.446626181520615,0.0092467310108855,0.1499111337472516,0.0183075571069204,0.3063802742915384,0.0147134669320831,0.0203060049999985
2574.0,0.0723732082258858,0.0080942785079593,0.4465570276958373,0.0092453590967472,0.1498883764139507,0.0183047764327358,0.3063330876311838,0.0147113043801736,0.0203030429448652
2574.5,0.0723621819591261,0.0080930745379292,0.4464878967777237,0.0092439876198158,0.1498656264879601,0.0183019966640731,0.3062859165285131,0.0147091425113073,0.0203000818185165
2575.0,0.072351159292901,0.0080918709524937,0.4464187887546247,0.0092426165798776,0.1498428839655772,0.0182992178004795,0.3062387609756503,0.0147069813251531,0.0202971216205055
2575.5,0.0723401402254051,0.0080906677514642,0.4463497036148987,0.0092412459767187,0.1498201488431019,0.0182964398415024,0.3061916209647243,0.0147048208213801,0.0202941623503859
2576.0,0.0723291247548339,0.0080894649346523,0.4462806413469125,0.0092398758101256,0.1497974211168367,0.0182936627866896,0.3061444964878697,0.0147026609996577,0.0202912040077115
2576.5,0.0723181128793845,0.0080882625018696,0.4462116019390406,0.0092385060798847,0.1497747007830864,0.0182908866355893,0.3060973875372266,0.0147005018596555,0.0202882465920364
2577.0,0.0723071045972549,0.0080870604529278,0.4461425853796653,0.0092371367857829,0.1497519878381585,0.0182881113877496,0.30605029410494,0.0146983434010432,0.0202852901029151
2577.5,0.0722960999066446,0.0080858587876389,0.4460735916571773,0.0092357679276067,0.1497292822783629,0.0182853370427194,0.3060032161831607,0.014696185623491,0.0202823345399023
2578.0,0.0722850988057539,0.0080846575058148,0.4460046207599749,0.0092343995051433,0.1497065841000119,0.0182825636000476,0.3059561537640446,0.0146940285266691,0.020279379902553
2578.5,0.0722741012927848,0.0080834566072678,0.4459356726764644,0.0092330315181798,0.1496838932994204,0.0182797910592835,0.3059091068397531,0.0146918721102478,0.0202764261904225
2579.0,0.0722631073659402,0.0080822560918099,0.4458667473950601,0.0092316639665033,0.1496612098729057,0.0182770194199767,0.3058620754024528,0.0146897163738978,0.0202734734030662
2579.5,0.0722521170234243,0.0080810559592537,0.4457978449041843,0.0092302968499012,0.1496385338167876,0.0182742486816771,0.3058150594443157,0.01468756131729,0.0202705215400402
