Energy,CF_2,HF,CF_3,CH,CF,CHF,CHF_2,C,F
3788.0,0.1074978950260694,0.0521055577917621,0.2306778027038791,0.0492885958782265,0.093090725171119,0.094937384681625,0.1735347631211089,0.042176086291857,0.0388213438010426
3788.5,0.1074863795377452,0.0521000766384733,0.2306527850944048,0.0492834215449188,0.0930807817428887,0.094927239863975,0.1735160203971591,0.0421716896469056,0.0388173195238001
3789.0,0.1074748666878304,0.0520945967214443,0.230627773276254,0.0492782483765838,0.093070840587302,0.0949170973658043,0.1734972819971769,0.0421672939856599,0.038813296142408
3789.5,0.1074633564753963,0.0520891180402465,0.2306027672473687,0.0492730763728184,0.0930609017035608,0.0949069571862981,0.1734785479196306,0.0421628993077813,0.0388092736565595
3790.0,0.1074518488995148,0.0520836405944516,0.2305777670056916,0.0492679055332196,0.0930509650908676,0.0948968193246421,0.1734598181629892,0.0421585056129319,0.0388052520659484
3790.5,0.1074403439592581,0.0520781643836313,0.2305527725491668,0.0492627358573845,0.093041030748425,0.0948866837800224,0.1734410927257224,0.0421541129007735,0.0388012313702682
3791.0,0.1074288416536991,0.0520726894073578,0.230527783875739,0.0492575673449107,0.0930310986754363,0.0948765505516254,0.1734223716063008,0.0421497211709682,0.0387972115692128
3791.5,0.107417341981911,0.0520672156652031,0.2305028009833543,0.0492523999953956,0.0930211688711048,0.094866419638638,0.1734036548031955,0.0421453304231783,0.0387931926624762
3792.0,0.1074058449429671,0.0520617431567397,0.2304778238699593,0.0492472338084371,0.0930112413346346,0.0948562910402473,0.1733849423148784,0.0421409406570664,0.0387891746497526
3792.5,0.1073943505359418,0.0520562718815403,0.2304528525335021,0.0492420687836331,0.0930013160652299,0.0948461647556409,0.1733662341398221,0.0421365518722948,0.0387851575307361
3793.0,0.1073828587599094,0.0520508018391776,0.2304278869719313,0.0492369049205818,0.0929913930620953,0.0948360407840069,0.1733475302765001,0.0421321640685265,0.0387811413051212
3793.5,0.1073713696139448,0.0520453330292247,0.2304029271831968,0.0492317422188815,0.0929814723244358,0.0948259191245336,0.1733288307233865,0.0421277772454244,0.0387771259726024
3794.0,0.1073598830971235,0.0520398654512547,0.2303779731652494,0.0492265806781308,0.0929715538514568,0.0948157997764097,0.1733101354789561,0.0421233914026514,0.0387731115328743
3794.5,0.1073483992085212,0.0520343991048412,0.2303530249160408,0.0492214202979282,0.0929616376423642,0.0948056827388245,0.1732914445416844,0.0421190065398708,0.038769097985632
3795.0,0.1073369179472141,0.0520289339895577,0.2303280824335238,0.0492162610778729,0.092951723696364,0.0947955680109673,0.1732727579100478,0.0421146226567459,0.0387650853305701
3795.5,0.1073254393122791,0.0520234701049781,0.230303145715652,0.0492111030175638,0.0929418120126628,0.0947854555920282,0.1732540755825233,0.0421102397529404,0.038761073567384
3796.0,0.1073139633027931,0.0520180074506763,0.2302782147603803,0.0492059461166002,0.0929319025904674,0.0947753454811973,0.1732353975575887,0.0421058578281179,0.0387570626957688
3796.5,0.1073024899178337,0.0520125460262266,0.2302532895656643,0.0492007903745815,0.0929219954289852,0.0947652376776654,0.1732167238337223,0.0421014768819422,0.0387530527154199
3797.0,0.107291019156479,0.0520070858312034,0.2302283701294606,0.0491956357911075,0.0929120905274238,0.0947551321806235,0.1731980544094035,0.0420970969140773,0.0387490436260329
3797.5,0.1072795510178073,0.0520016268651812,0.230203456449727,0.049190482365778,0.0929021878849912,0.0947450289892631,0.1731793892831122,0.0420927179241874,0.0387450354273033
3798.0,0.1072680855008975,0.051996169127735,0.2301785485244219,0.0491853300981929,0.0928922875008958,0.0947349281027759,0.1731607284533289,0.0420883399119369,0.0387410281189271
3798.5,0.107256622604829,0.0519907126184397,0.2301536463515051,0.0491801789879525,0.0928823893743464,0.0947248295203543,0.1731420719185351,0.04208396287699,0.0387370217006001
3799.0,0.1072451623286814,0.0519852573368705,0.2301287499289369,0.0491750290346572,0.0928724935045521,0.0947147332411906,0.1731234196772129,0.0420795868190116,0.0387330161720185
3799.5,0.107233704671535,0.0519798032826028,0.2301038592546792,0.0491698802379075,0.0928625998907224,0.094704639264478,0.1731047717278451,0.0420752117376663,0.0387290115328785
3800.0,0.1072222496324703,0.0519743504552122,0.2300789743266943,0.0491647325973043,0.0928527085320673,0.0946945475894098,0.1730861280689152,0.0420708376326191,0.0387250077828764
3800.5,0.1072107972105684,0.0519688988542746,0.2300540951429457,0.0491595861124485,0.092842819427797,0.0946844582151796,0.1730674886989076,0.0420664645035351,0.0387210049217087
3801.0,0.1071993474049108,0.0519634484793659,0.2300292217013979,0.0491544407829411,0.0928329325771221,0.0946743711409816,0.1730488536163072,0.0420620923500795,0.0387170029490721
3801.5,0.1071879002145794,0.0519579993300624,0.2300043540000164,0.0491492966083836,0.0928230479792537,0.0946642863660103,0.1730302228195996,0.0420577211719177,0.0387130018646634
3802.0,0.1071764556386566,0.0519525514059403,0.2299794920367675,0.0491441535883774,0.0928131656334031,0.0946542038894606,0.1730115963072715,0.0420533509687153,0.0387090016681795
3802.5,0.1071650136762251,0.0519471047065764,0.2299546358096186,0.0491390117225243,0.0928032855387821,0.0946441237105276,0.1729929740778099,0.0420489817401379,0.0387050023593174
3803.0,0.1071535743263681,0.0519416592315473,0.2299297853165382,0.0491338710104261,0.0927934076946029,0.0946340458284071,0.1729743561297027,0.0420446134858515,0.0387010039377745
3803.5,0.1071421375881694,0.0519362149804302,0.2299049405554955,0.0491287314516848,0.0927835321000778,0.094623970242295,0.1729557424614385,0.042040246205522,0.0386970064032479
3804.0,0.107130703460713,0.0519307719528021,0.2298801015244608,0.0491235930459028,0.0927736587544199,0.0946138969513878,0.1729371330715065,0.0420358798988156,0.0386930097554352
3804.5,0.1071192719430833,0.0519253301482405,0.2298552682214054,0.0491184557926825,0.0927637876568423,0.0946038259548821,0.172918527958397,0.0420315145653986,0.0386890139940341
3805.0,0.1071078430343655,0.0519198895663229,0.2298304406443016,0.0491133196916265,0.0927539188065586,0.0945937572519752,0.1728999271206006,0.0420271502049376,0.0386850191187422
3805.5,0.1070964167336449,0.0519144502066272,0.2298056187911225,0.0491081847423375,0.0927440522027829,0.0945836908418646,0.1728813305566088,0.042022786817099,0.0386810251292575
3806.0,0.1070849930400072,0.0519090120687312,0.2297808026598423,0.0491030509444186,0.0927341878447296,0.0945736267237482,0.1728627382649137,0.0420184244015499,0.038677032025278
3806.5,0.1070735719525387,0.0519035751522131,0.2297559922484361,0.049097918297473,0.0927243257316132,0.0945635648968242,0.1728441502440084,0.0420140629579569,0.0386730398065019
3807.0,0.1070621534703262,0.0518981394566514,0.2297311875548801,0.049092786801104,0.092714465862649,0.0945535053602913,0.1728255664923863,0.0420097024859874,0.0386690484726275
3807.5,0.1070507375924568,0.0518927049816245,0.2297063885771513,0.0490876564549152,0.0927046082370523,0.0945434481133486,0.172806987008542,0.0420053429853084,0.0386650580233532
3808.0,0.1070393243180179,0.0518872717267113,0.2296815953132278,0.0490825272585102,0.0926947528540392,0.0945333931551955,0.1727884117909703,0.0420009844555874,0.0386610684583777
3808.5,0.1070279136460976,0.0518818396914906,0.2296568077610885,0.049077399211493,0.0926848997128256,0.0945233404850317,0.1727698408381672,0.0419966268964921,0.0386570797773997
3809.0,0.1070165055757842,0.0518764088755417,0.2296320259187135,0.0490722723134678,0.0926750488126283,0.0945132901020576,0.1727512741486291,0.0419922703076899,0.0386530919801181
3809.5,0.1070051001061667,0.0518709792784439,0.2296072497840837,0.0490671465640387,0.0926652001526642,0.0945032420054735,0.1727327117208532,0.0419879146888489,0.0386491050662318
3810.0,0.1069936972363343,0.0518655508997766,0.2295824793551809,0.0490620219628102,0.0926553537321506,0.0944931961944805,0.1727141535533374,0.0419835600396371,0.03864511903544
